C1,C2,C3
0.33721883130998775,0.2614844827746306,0.9911282009333722
0.3372189372850327,0.2614872857893652,0.9909362392246712
0.3372213155863644,0.261485957836016,0.9904846377554384
0.3372223104355085,0.26146058882730594,0.9912074782251932
0.33722224411069857,0.2614658005353896,0.9912471454634766
0.3372255158422143,0.2614716936775635,0.9917858017009269
0.33724568866704197,0.21804644275656943,0.9934258091210811
0.3372482012956326,0.2180480260177044,0.9939397226148743
0.3372514109018391,0.21807850800224143,0.9935069089617038
0.33724991503958984,0.21807560524795916,0.9940460762322083
0.33723818097162583,0.21799272539787462,0.9965160583279238
0.3372345640687938,0.21802074469081256,0.9960110148225266
0.3372495952589428,0.17464574719354092,0.9964738549017526
0.33724065604702813,0.17466957225144358,0.9982478668007776
0.3372338097595422,0.17475151004055994,1.0
0.33722949927940427,0.1747415478579335,0.9997795956124416
0.3372279253057641,0.17473237598494223,0.9988649415227631
0.3372188332855309,0.17466476715054752,0.9991025727933734
0.337240395371703,0.131252535705639,0.9986782320463363
0.3372252434230464,0.13119641523115189,0.9996260281868435
0.33721754851996816,0.13122629012960246,0.9971402793669921
0.3372163745656007,0.1311621007561088,0.9977617185017316
0.3372141541162623,0.13116211852290188,0.9967722391255898
0.3372117089334311,0.13114986327875688,0.9944987458355298
0.3372290687347548,0.08775609189125605,0.9935221137139603
0.3372201990320867,0.08776932851694685,0.990108271492192
0.33722063907444594,0.08775498208733279,0.9883517920852605
0.33722107210580926,0.08778681279473244,0.9856819649097843
0.33722006352414374,0.08778775354005264,0.9851485009459843
0.33721451059491203,0.08778166244665436,0.9838517699280415
0.3372353720989121,0.04437349108640487,0.9837916712748367
0.33723537621191224,0.044364438777154624,0.9823205394890262
0.33722862659282177,0.044349264823654366,0.9807800179192216
0.33721921649585007,0.044304626710257644,0.9792164104292389
0.33721590008624913,0.04431792678511076,0.976648474267221
0.33721169331645884,0.044315423001908105,0.9756600316473056
0.33723131509782256,0.000914217486288893,0.9762326964773868
0.33723209114886077,0.0009386684628511777,0.9777212927845025
0.3372367842236941,0.0009841426281418375,0.9783298334198326
0.3372373779442903,0.0009775239203738129,0.9801916688078773
