edition,athlete,noc,gender,event,medal,season
1900,"HALMAY, Zoltan",HUN,Men,1500m freestyle,Bronze,Summer
1900,"JARVIS, John Arthur",GBR,Men,1500m freestyle,Gold,Summer
1900,"WAHLE, Otto",AUT,Men,1500m freestyle,Silver,Summer
1900,"DROST, Johannes",NED,Men,200m backstroke,Bronze,Summer
1900,"HOPPENBERG, Ernst",GER,Men,200m backstroke,Gold,Summer
1900,"RUBERL, Karl",AUT,Men,200m backstroke,Silver,Summer
1900,"HALMAY, Zoltan",HUN,Men,200m freestyle,Silver,Summer
1900,"RUBERL, Karl",AUT,Men,200m freestyle,Bronze,Summer
1900,"LANE, Frederick C.V.",AUS,Men,200m freestyle,Gold,Summer
1900,"KEMP, Peter",GBR,Men,200m obstacle event,Bronze,Summer
1900,"WAHLE, Otto",AUT,Men,200m obstacle event,Silver,Summer
1900,"LANE, Frederick C.V.",AUS,Men,200m obstacle event,Gold,Summer
1900,"FREY, Julius",GER,Men,200m team swimming,Gold,Summer
1900,"HAINLE, Max",GER,Men,200m team swimming,Gold,Summer
1900,"HOPPENBERG, Ernst",GER,Men,200m team swimming,Gold,Summer
1900,"SCHNE, Max",GER,Men,200m team swimming,Gold,Summer
1900,"VON PETERSDORFF, Herbert",GER,Men,200m team swimming,Gold,Summer
1900,BERTRAND,FRA,Men,200m team swimming,Silver,Summer
1900,CADET,FRA,Men,200m team swimming,Silver,Summer
1900,"HOCHEPIED, Maurice",FRA,Men,200m team swimming,Silver,Summer
1900,"HOCHEPIED, Victor",FRA,Men,200m team swimming,Silver,Summer
1900,VERBECKE,FRA,Men,200m team swimming,Silver,Summer
1900,HOUBEN,FRA,Men,200m team swimming,Bronze,Summer
1900,"LEUILLIEUX, Jean",FRA,Men,200m team swimming,Bronze,Summer
1900,"MARTIN, Louis",FRA,Men,200m team swimming,Bronze,Summer
1900,"MERCHEZ, Dsir",FRA,Men,200m team swimming,Bronze,Summer
1900,TARTARA,FRA,Men,200m team swimming,Bronze,Summer
1900,"HALMAY, Zoltan",HUN,Men,4000m freestyle,Silver,Summer
1900,"JARVIS, John Arthur",GBR,Men,4000m freestyle,Gold,Summer
1900,"MARTIN, Louis",FRA,Men,4000m freestyle,Bronze,Summer
1900,"DE VENDEVILLE, Charles",FRA,Men,underwater swimming,Gold,Summer
1900,"SIX, Andr",FRA,Men,underwater swimming,Silver,Summer
1900,"LYKKEBERG, Peder",DEN,Men,underwater swimming,Bronze,Summer
1900,"COE, Thomas",GBR,Men,water polo,Gold,Summer
1900,"DERBYSHIRE, John Henry",GBR,Men,water polo,Gold,Summer
1900,"KEMP, Peter",GBR,Men,water polo,Gold,Summer
1900,"LISTER, William",GBR,Men,water polo,Gold,Summer
1900,"ROBERTSON, Arthur",GBR,Men,water polo,Gold,Summer
1900,"ROBINSON, Eric",GBR,Men,water polo,Gold,Summer
1900,"WILKINSON, George",GBR,Men,water polo,Gold,Summer
1900,"BURGESS, Thomas",FRA,Men,water polo,Bronze,Summer
1900,COULON,FRA,Men,water polo,Bronze,Summer
1900,"DECUYPER, Alphonse",FRA,Men,water polo,Bronze,Summer
1900,DEVENOT,FRA,Men,water polo,Bronze,Summer
1900,FARDELLE,FRA,Men,water polo,Bronze,Summer
1900,FAVIER,FRA,Men,water polo,Bronze,Summer
1900,"LAUFRAY, Louis",FRA,Men,water polo,Bronze,Summer
1900,LERICHE,FRA,Men,water polo,Bronze,Summer
1900,"MARTIN, Louis",FRA,Men,water polo,Bronze,Summer
1900,"MERCHEZ, Dsir",FRA,Men,water polo,Bronze,Summer
1900,"PESLIER, Henri",FRA,Men,water polo,Bronze,Summer
1900,PESLOY,FRA,Men,water polo,Bronze,Summer
1900,"TREFFEL, Charles",FRA,Men,water polo,Bronze,Summer
1900,"VASSEUR, Paul",FRA,Men,water polo,Bronze,Summer
1900,"COHEN, Henri",BEL,Men,water polo,Silver,Summer
1900,"DE BACKER, Jean",BEL,Men,water polo,Silver,Summer
1900,"DE BEHR, Victor",BEL,Men,water polo,Silver,Summer
1900,"FEYAERTS, Fernand",BEL,Men,water polo,Silver,Summer
1900,"GREGOIRE, Oscar",BEL,Men,water polo,Silver,Summer
1900,"MICHANT, Albert",BEL,Men,water polo,Silver,Summer
1900,"SONNEMANS, Victor",BEL,Men,water polo,Silver,Summer
1900,"MOUGIN, Eugne",FRA,Men,"au chapelet, 50m",Gold,Summer
1900,"HEROUIN, Henri",FRA,Men,"au cordon dore, 50m",Gold,Summer
1900,"GRUMIAUX, Emile",FRA,Men,sur la perche  la pyramide,Gold,Summer
1900,"THIBAUD, Victor",FRA,Men,"au chapelet, 33m",Silver,Summer
1900,"HELLE, Henri",FRA,Men,"au chapelet, 50m",Silver,Summer
1900,"THIBAUD, Victor",FRA,Men,"au cordon dore, 33m",Silver,Summer
1900,"SERRURIER, Auguste",FRA,Men,sur la perche  la herse,Silver,Summer
1900,"SERRURIER, Auguste",FRA,Men,sur la perche  la pyramide,Silver,Summer
1900,"PETIT, Charles Frdric",FRA,Men,"au chapelet, 33m",Bronze,Summer
1900,"MERCIER, Emile",FRA,Men,"au chapelet, 50m",Bronze,Summer
1900,"PETIT, Charles Frdric",FRA,Men,"au cordon dore, 33m",Bronze,Summer
1900,"FISSEUX, Emile",FRA,Men,"au cordon dore, 50m",Bronze,Summer
1900,"VAN INNIS, Hubert",BEL,Men,"au chapelet, 33m",Gold,Summer
1900,"VAN INNIS, Hubert",BEL,Men,"au cordon dore, 33m",Gold,Summer
1900,"FOULON, Emmanuel",BEL,Men,sur la perche  la herse,Gold,Summer
1900,"VAN INNIS, Hubert",BEL,Men,"au cordon dore, 50m",Silver,Summer
1900,"DRUART, Jr.",BEL,Men,sur la perche  la herse,Silver,Summer
1900,"GLINEUX, Louis",BEL,Men,sur la perche  la pyramide,Bronze,Summer
1900,"BENNETT, Charles",ZZX,Men,5000m team,Gold,Summer
1900,"RIMMER, John",ZZX,Men,5000m team,Gold,Summer
1900,"ROBINSON, Sidney",ZZX,Men,5000m team,Gold,Summer
1900,"ROWLEY, Stanley",ZZX,Men,5000m team,Gold,Summer
1900,"TYSOE, Alfred",ZZX,Men,5000m team,Gold,Summer
1900,"JARVIS, Francis",USA,Men,100m,Gold,Summer
1900,"KRAENZLEIN, Alvin",USA,Men,110m hurdles,Gold,Summer
1900,"TEWKSBURY, Walter B. John",USA,Men,200m,Gold,Summer
1900,"KRAENZLEIN, Alvin",USA,Men,200m hurdles,Gold,Summer
1900,"LONG, Maxwell W.Maxey",USA,Men,400m,Gold,Summer
1900,"TEWKSBURY, Walter B. John",USA,Men,400m hurdles,Gold,Summer
1900,"KRAENZLEIN, Alvin",USA,Men,60m,Gold,Summer
1900,"FLANAGAN, John Jesus",USA,Men,hammer throw,Gold,Summer
1900,"BAXTER, Irving",USA,Men,high jump,Gold,Summer
1900,"EWRY, Ray",USA,Men,"high jump, standing",Gold,Summer
1900,"KRAENZLEIN, Alvin",USA,Men,long jump,Gold,Summer
1900,"EWRY, Ray",USA,Men,"long jump, standing",Gold,Summer
1900,"BAXTER, Irving",USA,Men,pole vault,Gold,Summer
1900,"SHELDON, Richard",USA,Men,shot put,Gold,Summer
1900,"PRINSTEIN, Meyer",USA,Men,triple jump,Gold,Summer
1900,"EWRY, Ray",USA,Men,"triple jump, standing",Gold,Summer
1900,"TEWKSBURY, Walter B. John",USA,Men,100m,Silver,Summer
1900,"MCLEAN, John",USA,Men,110m hurdles,Silver,Summer
1900,"HOLLAND, William",USA,Men,400m,Silver,Summer
1900,"TEWKSBURY, Walter B. John",USA,Men,60m,Silver,Summer
1900,"CREGAN, John",USA,Men,800m,Silver,Summer
1900,"HARE, Thomas Truxton",USA,Men,hammer throw,Silver,Summer
1900,"BAXTER, Irving",USA,Men,"high jump, standing",Silver,Summer
1900,"PRINSTEIN, Meyer",USA,Men,long jump,Silver,Summer
1900,"BAXTER, Irving",USA,Men,"long jump, standing",Silver,Summer
1900,"COLKETT, Meredith Bright",USA,Men,pole vault,Silver,Summer
1900,"MCCRACKEN, Josiah",USA,Men,shot put,Silver,Summer
1900,"CONNOLLY, James",USA,Men,triple jump,Silver,Summer
1900,"BAXTER, Irving",USA,Men,"triple jump, standing",Silver,Summer
1900,"MOLONEY, Frederick",USA,Men,110m hurdles,Bronze,Summer
1900,"BRAY, John",USA,Men,1500m,Bronze,Summer
1900,"TEWKSBURY, Walter B. John",USA,Men,200m hurdles,Bronze,Summer
1900,"HALL, David",USA,Men,800m,Bronze,Summer
1900,"SHELDON, Richard",USA,Men,discus throw,Bronze,Summer
1900,"MCCRACKEN, Josiah",USA,Men,hammer throw,Bronze,Summer
1900,"SHELDON, Lewis Pendleton",USA,Men,"high jump, standing",Bronze,Summer
1900,"GARRETT, Robert",USA,Men,shot put,Bronze,Summer
1900,"SHELDON, Lewis Pendleton",USA,Men,triple jump,Bronze,Summer
1900,"GARRETT, Robert",USA,Men,"triple jump, standing",Bronze,Summer
1900,"FAST, Ernst",SWE,Men,marathon,Bronze,Summer
1900,"ANDERSEN, Carl Albert",NOR,Men,pole vault,Bronze,Summer
1900,"PRITCHARD, Norman",IND,Men,200m,Silver,Summer
1900,"PRITCHARD, Norman",IND,Men,200m hurdles,Silver,Summer
1900,"BAUER, Rudolf",HUN,Men,discus throw,Gold,Summer
1900,"GNCZY, Lajos",HUN,Men,high jump,Bronze,Summer
1900,"BENNETT, Charles",GBR,Men,1500m,Gold,Summer
1900,"RIMMER, John",GBR,Men,4000m steeplechase,Gold,Summer
1900,"TYSOE, Alfred",GBR,Men,800m,Gold,Summer
1900,"ROBINSON, Sidney",GBR,Men,3000m steeplechase,Silver,Summer
1900,"BENNETT, Charles",GBR,Men,4000m steeplechase,Silver,Summer
1900,"LEAHY, Patrick Joseph",GBR,Men,high jump,Silver,Summer
1900,"ROBINSON, Sidney",GBR,Men,4000m steeplechase,Bronze,Summer
1900,"LEAHY, Patrick Joseph",GBR,Men,long jump,Bronze,Summer
1900,"THEATO, Michel",FRA,Men,marathon,Gold,Summer
1900,"DELOGE, Henri",FRA,Men,1500m,Silver,Summer
1900,"TAUZIN, Henri",FRA,Men,400m hurdles,Silver,Summer
1900,"CASTANET, Andr",FRA,Men,5000m team,Silver,Summer
1900,"CHAMPOUDRY, Michel",FRA,Men,5000m team,Silver,Summer
1900,"CHASTANIE, Jacques",FRA,Men,5000m team,Silver,Summer
1900,"DELOGE, Henri",FRA,Men,5000m team,Silver,Summer
1900,"RAGUENEAU, Gaston",FRA,Men,5000m team,Silver,Summer
1900,"CHAMPION, Emile",FRA,Men,marathon,Silver,Summer
1900,"CHASTANIE, Jacques",FRA,Men,3000m steeplechase,Bronze,Summer
1900,"TORCHEBOEUF, Emile",FRA,Men,"long jump, standing",Bronze,Summer
1900,"SCHULTZ, Ernst",DEN,Men,400m,Bronze,Summer
1900,"ORTON, George",CAN,Men,3000m steeplechase,Gold,Summer
1900,"ORTON, George",CAN,Men,400m hurdles,Bronze,Summer
1900,"JANDA, Frantisek",BOH,Men,discus throw,Silver,Summer
1900,"ROWLEY, Stanley",AUS,Men,100m,Bronze,Summer
1900,"ROWLEY, Stanley",AUS,Men,200m,Bronze,Summer
1900,"ROWLEY, Stanley",AUS,Men,60m,Bronze,Summer
1900,"DURQUETTY, Maurice",FRA,Men,cesta punta,Silver,Summer
1900,ETCHEGARAY,FRA,Men,cesta punta,Silver,Summer
1900,"De AMEZOLA y ASPIZUA, Jos",ESP,Men,cesta punta,Gold,Summer
1900,"VILLOTA BAQUIOLA, Francisco",ESP,Men,cesta punta,Gold,Summer
1900,"BEACHCROFT, Charles",GBR,Men,cricket,Gold,Summer
1900,"BIRKETT, Arthur Ernest",GBR,Men,cricket,Gold,Summer
1900,"BOWERMAN, Alfred James",GBR,Men,cricket,Gold,Summer
1900,"BUCKLEY, George John",GBR,Men,cricket,Gold,Summer
1900,"BURCHELL, Francis Romulus",GBR,Men,cricket,Gold,Summer
1900,"CHRISTIAN, Frederick William",GBR,Men,cricket,Gold,Summer
1900,"CORNER, Harry Richard",GBR,Men,cricket,Gold,Summer
1900,"CUMING, Frederick Wlliam",GBR,Men,cricket,Gold,Summer
1900,"DONNE, William Stephen",GBR,Men,cricket,Gold,Summer
1900,"POWLESLAND, Alfred James",GBR,Men,cricket,Gold,Summer
1900,"SYMES, John",GBR,Men,cricket,Gold,Summer
1900,"TOLLER, Montagu Henry",GBR,Men,cricket,Gold,Summer
1900,"ANDERSON, W.",FRA,Men,cricket,Silver,Summer
1900,"ATTRILL, W.T.",FRA,Men,cricket,Silver,Summer
1900,"BRAID, J.",FRA,Men,cricket,Silver,Summer
1900,"BROWNING, W.",FRA,Men,cricket,Silver,Summer
1900,"HORNE, R.",FRA,Men,cricket,Silver,Summer
1900,"JORDAN, T.H.",FRA,Men,cricket,Silver,Summer
1900,"MCEVOY, A.",FRA,Men,cricket,Silver,Summer
1900,"ROBINSON, D.",FRA,Men,cricket,Silver,Summer
1900,"ROQUES, F.",FRA,Men,cricket,Silver,Summer
1900,"SCHNEIDAU, A.J.",FRA,Men,cricket,Silver,Summer
1900,"TERRY, Henry John",FRA,Men,cricket,Silver,Summer
1900,"TOMALIN, P.H.",FRA,Men,cricket,Silver,Summer
1900,AUMOITTE,FRA,Men,double,Gold,Summer
1900,JOHIN,FRA,Men,double,Gold,Summer
1900,AUMOITTE,FRA,Men,individual 1 ball,Gold,Summer
1900,WAYDELICH,FRA,Men,individual 2 balls,Gold,Summer
1900,JOHIN,FRA,Men,individual 1 ball,Silver,Summer
1900,VIGNEROT,FRA,Men,individual 2 balls,Silver,Summer
1900,WAYDELICH,FRA,Men,individual 1 ball,Bronze,Summer
1900,SAUTREAU,FRA,Men,individual 2 balls,Bronze,Summer
1900,"BASTIEN, Louis",FRA,Men,25 kilometres,Gold,Summer
1900,"DAUMAIN, .....",FRA,Men,25 kilometres,Bronze,Summer
1900,"HILDEBRAND, Louis",FRA,Men,25 kilometres,Silver,Summer
1900,"LAKE, John Henry",USA,Men,Sprint individual,Bronze,Summer
1900,"SANZ, Fernand",FRA,Men,Sprint individual,Silver,Summer
1900,"TAILLANDIER, Georges",FRA,Men,Sprint individual,Gold,Summer
1900,DE BELLEGARDE,FRA,Men,long jump individual,Bronze,Summer
1900,"GARDERES, Dominique Maximien",FRA,Men,high jump,Gold,Summer
1900,"HAEGEMAN, Aim",BEL,Men,individual,Gold,Summer
1900,"TRISSINO, Gian Giorgio",ITA,Men,high jump,Gold,Summer
1900,"TRISSINO, Gian Giorgio",ITA,Men,long jump individual,Silver,Summer
1900,"VAN DE POELE, Georges",BEL,Men,high jump,Bronze,Summer
1900,"VAN DE POELE, Georges",BEL,Men,individual,Silver,Summer
1900,"VAN LANGHENDONCK, Constant",BEL,Men,long jump individual,Gold,Summer
1900,"CONTE, Antonio",ITA,Men,"sabre, masters",Gold,Summer
1900,"SANTELLI, Italo",ITA,Men,"sabre, masters",Silver,Summer
1900,"AYAT, Albert",FRA,Men,"epee, amateurs and masters",Gold,Summer
1900,"AYAT, Albert",FRA,Men,"epee, masters",Gold,Summer
1900,"COSTE, Emile",FRA,Men,foil individual,Gold,Summer
1900,"MERIGNAC, Lucien",FRA,Men,"foil, masters",Gold,Summer
1900,"DE LA FALAISE, Georges",FRA,Men,sabre individual,Gold,Summer
1900,"PERREE, Louis",FRA,Men,epee individual,Silver,Summer
1900,"BOUGNOL, Emile",FRA,Men,"epee, masters",Silver,Summer
1900,"MASSON, Henri",FRA,Men,foil individual,Silver,Summer
1900,"KIRCHHOFFER, Alphonse",FRA,Men,"foil, masters",Silver,Summer
1900,"THIEBAUT, Lon",FRA,Men,sabre individual,Silver,Summer
1900,"SEE, Lon",FRA,Men,epee individual,Bronze,Summer
1900,"SEE, Lon",FRA,Men,"epee, amateurs and masters",Bronze,Summer
1900,"LAURENT, Henri",FRA,Men,"epee, masters",Bronze,Summer
1900,"BOULENGER, Marcel Jacques",FRA,Men,foil individual,Bronze,Summer
1900,"MIMIAGUE, Jean-Baptiste",FRA,Men,"foil, masters",Bronze,Summer
1900,"FONST, Ramon",CUB,Men,epee individual,Gold,Summer
1900,"FONST, Ramon",CUB,Men,"epee, amateurs and masters",Silver,Summer
1900,"FLESCH, Siegfried",AUT,Men,sabre individual,Bronze,Summer
1900,"NERALIC, Milan",AUT,Men,"sabre, masters",Bronze,Summer
1900,"BUCKENHAM, Claude Percy",GBR,Men,football,Gold,Summer
1900,"BURRIDGE, T.E.",GBR,Men,football,Gold,Summer
1900,"CHALK, Alfred Ernest",GBR,Men,football,Gold,Summer
1900,"GROSLING, William Sullivan",GBR,Men,football,Gold,Summer
1900,"HASLAM, A.",GBR,Men,football,Gold,Summer
1900,"JONES, J.H.",GBR,Men,football,Gold,Summer
1900,"NICHOLAS, J.",GBR,Men,football,Gold,Summer
1900,"QUASH, William Francis",GBR,Men,football,Gold,Summer
1900,"SPACKMAN, F.G.",GBR,Men,football,Gold,Summer
1900,"TURNER, R.R.",GBR,Men,football,Gold,Summer
1900,"ZEALLEY, James Edward",GBR,Men,football,Gold,Summer
1900,"ALLEMANE, Pierre",FRA,Men,football,Silver,Summer
1900,BACH,FRA,Men,football,Silver,Summer
1900,"BLOCH, Jean",FRA,Men,football,Silver,Summer
1900,"CANELLE, Fernand",FRA,Men,football,Silver,Summer
1900,DUPARC,FRA,Men,football,Silver,Summer
1900,FRAYSSE,FRA,Men,football,Silver,Summer
1900,GAILLARD,FRA,Men,football,Silver,Summer
1900,"GARNIER, Ren",FRA,Men,football,Silver,Summer
1900,GRANDJEAN,FRA,Men,football,Silver,Summer
1900,HUTEAU,FRA,Men,football,Silver,Summer
1900,LAMBERT,FRA,Men,football,Silver,Summer
1900,MACAIRE,FRA,Men,football,Silver,Summer
1900,PELTIER,FRA,Men,football,Silver,Summer
1900,"DELBECQUE, Albert",BEL,Men,football,Bronze,Summer
1900,"KELECOM, R.",BEL,Men,football,Bronze,Summer
1900,"LEBOUTTE, Marcel",BEL,Men,football,Bronze,Summer
1900,LONDOT,BEL,Men,football,Bronze,Summer
1900,"MOREAU, Ernest",BEL,Men,football,Bronze,Summer
1900,"NEEFS, E.",BEL,Men,football,Bronze,Summer
1900,"PELGRIMS, Georges",BEL,Men,football,Bronze,Summer
1900,"RENIER, Alphonse",BEL,Men,football,Bronze,Summer
1900,"SPANNOGHE, E.",BEL,Men,football,Bronze,Summer
1900,"THORNTON, Erich",BEL,Men,football,Bronze,Summer
1900,VAN HEUCKELUM,BEL,Men,football,Bronze,Summer
1900,"SANDS, Charles Edward",USA,Men,individual,Gold,Summer
1900,"ABBOTT, Margaret Ives",USA,Women,individual,Gold,Summer
1900,"WHITTIER, Pauline",USA,Women,individual,Silver,Summer
1900,"PRATT, Daria",USA,Women,individual,Bronze,Summer
1900,"RUTHERFORD, Walter",GBR,Men,individual,Silver,Summer
1900,"ROBERTSON, David Donaldson",GBR,Men,individual,Bronze,Summer
1900,"SANDRAS, Gustave",FRA,Men,individual all-round,Gold,Summer
1900,"BAS, Nol",FRA,Men,individual all-round,Silver,Summer
1900,"DEMANET, Lucien",FRA,Men,individual all-round,Bronze,Summer
1900,"DALY, Dennis",ZZX,Men,polo,Gold,Summer
1900,"KEENE, Foxhall Parker",ZZX,Men,polo,Gold,Summer
1900,"MACKEY, Frank Jay",ZZX,Men,polo,Gold,Summer
1900,"RAWLINSON, Alfred",ZZX,Men,polo,Gold,Summer
1900,"BUCKMASTER, Walter Selby",ZZX,Men,polo,Silver,Summer
1900,"COMTE DE MADRE, Jos Pierre M.J.",ZZX,Men,polo,Silver,Summer
1900,"FREAKE, Frederick Maitland",ZZX,Men,polo,Silver,Summer
1900,"MCCREERY, Walter Adolph",ZZX,Men,polo,Silver,Summer
1900,"BOUSSOD, Jean",ZZX,Men,polo,Bronze,Summer
1900,"DUC DE BISACCIA, Louis",ZZX,Men,polo,Bronze,Summer
1900,"FAUQUET LEMAITRE, A.",ZZX,Men,polo,Bronze,Summer
1900,"RAOUL-DUVAL, Maurice",ZZX,Men,polo,Bronze,Summer
1900,"BRANDT, Francois Antoine",ZZX,Men,pair-oared shell with coxswain (2+),Gold,Summer
1900,"BROCKMANN, Hermanus Gerardus",ZZX,Men,pair-oared shell with coxswain (2+),Gold,Summer
1900,"KLEIN, Roelof",ZZX,Men,pair-oared shell with coxswain (2+),Gold,Summer
1900,"ABELL, Louis",USA,Men,eight with coxswain (8+),Gold,Summer
1900,"CARR, William",USA,Men,eight with coxswain (8+),Gold,Summer
1900,"DEBAECKE, Harry",USA,Men,eight with coxswain (8+),Gold,Summer
1900,"EXLEY, John",USA,Men,eight with coxswain (8+),Gold,Summer
1900,"GEIGER, John",USA,Men,eight with coxswain (8+),Gold,Summer
1900,"HEDLEY, Edward",USA,Men,eight with coxswain (8+),Gold,Summer
1900,"JUVENAL, James",USA,Men,eight with coxswain (8+),Gold,Summer
1900,"LOCKWOOD, Roscoe",USA,Men,eight with coxswain (8+),Gold,Summer
1900,"MARSH, Edward",USA,Men,eight with coxswain (8+),Gold,Summer
1900,"BROCKMANN, Hermanus Gerardus",NED,Men,four-oared shell with coxswain (4-),Silver,Summer
1900,"HIEBENDAAI, Coenraad Christiaan",NED,Men,four-oared shell with coxswain (4-),Silver,Summer
1900,"LOTSY, Gerhard Oswald",NED,Men,four-oared shell with coxswain (4-),Silver,Summer
1900,"LOTSY, Paulus Jan",NED,Men,four-oared shell with coxswain (4-),Silver,Summer
1900,"TERWOGT, Johannes Hester Lambertus",NED,Men,four-oared shell with coxswain (4-),Silver,Summer
1900,"BRANDT, Francois Antoine",NED,Men,eight with coxswain (8+),Bronze,Summer
1900,"BROCKMANN, Hermanus Gerardus",NED,Men,eight with coxswain (8+),Bronze,Summer
1900,"KLEIN, Roelof",NED,Men,eight with coxswain (8+),Bronze,Summer
1900,"LEEGSTRA, Ruud Gerbens",NED,Men,eight with coxswain (8+),Bronze,Summer
1900,"MIDDELBERG, Walter",NED,Men,eight with coxswain (8+),Bronze,Summer
1900,"OFFERHAUS, Hendrik Karel",NED,Men,eight with coxswain (8+),Bronze,Summer
1900,"THIJSSEN, Walter",NED,Men,eight with coxswain (8+),Bronze,Summer
1900,"TROMP, Henricus",NED,Men,eight with coxswain (8+),Bronze,Summer
1900,"VAN DIJK, Johannes Wilhelmus Maria",NED,Men,eight with coxswain (8+),Bronze,Summer
1900,"GOSSLER, Carl Heinrich",GER,Men,four-oared shell with coxswain (4-),Gold,Summer
1900,"GOSSLER, Gustav Ludwig",GER,Men,four-oared shell with coxswain (4-),Gold,Summer
1900,"GOSSLER, Oscar",GER,Men,four-oared shell with coxswain (4-),Gold,Summer
1900,"KATZENSTEIN, Walther",GER,Men,four-oared shell with coxswain (4-),Gold,Summer
1900,"TIETGENS, Waldemar",GER,Men,four-oared shell with coxswain (4-),Gold,Summer
1900,"CARSTENS, Wilhelm",GER,Men,four-oared shell with coxswain (4-),Bronze,Summer
1900,"FELLE, Ernst",GER,Men,four-oared shell with coxswain (4-),Bronze,Summer
1900,"FICKEISEN, Otto",GER,Men,four-oared shell with coxswain (4-),Bronze,Summer
1900,"KRNER, Julius",GER,Men,four-oared shell with coxswain (4-),Bronze,Summer
1900,"KRWERATH, Franz",GER,Men,four-oared shell with coxswain (4-),Bronze,Summer
1900,"LEHLE, Carl",GER,Men,four-oared shell with coxswain (4-),Bronze,Summer
1900,"MLLER, Adolf",GER,Men,four-oared shell with coxswain (4-),Bronze,Summer
1900,"MOTHS, Gustav Adolf",GER,Men,four-oared shell with coxswain (4-),Bronze,Summer
1900,"RSTER, Hugo",GER,Men,four-oared shell with coxswain (4-),Bronze,Summer
1900,"WILKER, Hermann",GER,Men,four-oared shell with coxswain (4-),Bronze,Summer
1900,"ASHE, Saint-George",GBR,Men,single sculls (1x),Bronze,Summer
1900,"BOUCKAERT, Henri",FRA,Men,four-oared shell with coxswain (4-),Gold,Summer
1900,"CAU, Jean",FRA,Men,four-oared shell with coxswain (4-),Gold,Summer
1900,CHARLOT,FRA,Men,four-oared shell with coxswain (4-),Gold,Summer
1900,"DELCHAMBRE, Emile",FRA,Men,four-oared shell with coxswain (4-),Gold,Summer
1900,"HAZEBROUCK, Henri",FRA,Men,four-oared shell with coxswain (4-),Gold,Summer
1900,"BARRELET, Henri",FRA,Men,single sculls (1x),Gold,Summer
1900,"LUMPP, Georges",FRA,Men,four-oared shell with coxswain (4-),Silver,Summer
1900,"PERRIN, Charles",FRA,Men,four-oared shell with coxswain (4-),Silver,Summer
1900,"SOUBEYRAN, Daniel",FRA,Men,four-oared shell with coxswain (4-),Silver,Summer
1900,"WEGELIN, Emile",FRA,Men,four-oared shell with coxswain (4-),Silver,Summer
1900,"MARTINET, Louis",FRA,Men,pair-oared shell with coxswain (2+),Silver,Summer
1900,UNKNOWN COX / BARREUR INCONNU,FRA,Men,pair-oared shell with coxswain (2+),Silver,Summer
1900,WALEFF,FRA,Men,pair-oared shell with coxswain (2+),Silver,Summer
1900,"GAUDIN, Andr",FRA,Men,single sculls (1x),Silver,Summer
1900,"DELTOUR, Carlos",FRA,Men,pair-oared shell with coxswain (2+),Bronze,Summer
1900,"PAOLI, Raoul",FRA,Men,pair-oared shell with coxswain (2+),Bronze,Summer
1900,"VEDRENNE, Antoine Erneste",FRA,Men,pair-oared shell with coxswain (2+),Bronze,Summer
1900,"BRUGGEMAN, Prospre",BEL,Men,eight with coxswain (8+),Silver,Summer
1900,"DE BISSCHOP, Jules",BEL,Men,eight with coxswain (8+),Silver,Summer
1900,"DE COCK, Oscar",BEL,Men,eight with coxswain (8+),Silver,Summer
1900,"DE SOMVILLE, Oscar Charles",BEL,Men,eight with coxswain (8+),Silver,Summer
1900,"HEMELSOET, Maurice",BEL,Men,eight with coxswain (8+),Silver,Summer
1900,"ODBERG, Frank",BEL,Men,eight with coxswain (8+),Silver,Summer
1900,"VAN CROMBRUGGHE, Marcel Lucien",BEL,Men,eight with coxswain (8+),Silver,Summer
1900,"VAN LANDEGHEM, Alfred",BEL,Men,eight with coxswain (8+),Silver,Summer
1900,"VERDONCK, Maurice",BEL,Men,eight with coxswain (8+),Silver,Summer
1900,"AMRHEIN, Albert",GER,Men,rugby,Silver,Summer
1900,"BETTING, Hugo",GER,Men,rugby,Silver,Summer
1900,"HERRMANN, Jacob",GER,Men,rugby,Silver,Summer
1900,"HOFMEISTER, Willy",GER,Men,rugby,Silver,Summer
1900,"KREUZER, Hermann",GER,Men,rugby,Silver,Summer
1900,"LANDVOIGT, Arnold",GER,Men,rugby,Silver,Summer
1900,"LATSCHA, Hans",GER,Men,rugby,Silver,Summer
1900,"LUDWIG, Erich",GER,Men,rugby,Silver,Summer
1900,"LUDWIG, Richard",GER,Men,rugby,Silver,Summer
1900,"MLLER, Fritz",GER,Men,rugby,Silver,Summer
1900,"POPPE, Eduard",GER,Men,rugby,Silver,Summer
1900,"REITZ, Heinrich",GER,Men,rugby,Silver,Summer
1900,"SCHMIERER, August",GER,Men,rugby,Silver,Summer
1900,"STOCKHAUSEN, Adolf",GER,Men,rugby,Silver,Summer
1900,"WENDEROTH, Georg",GER,Men,rugby,Silver,Summer
1900,"BAYLISS, F.C.",GBR,Men,rugby,Silver,Summer
1900,"BIRTLES, J.Henry",GBR,Men,rugby,Silver,Summer
1900,"CAUTLON, J.",GBR,Men,rugby,Silver,Summer
1900,"DARBY, Artur John",GBR,Men,rugby,Silver,Summer
1900,"DEYKIN, C.P.",GBR,Men,rugby,Silver,Summer
1900,"HOOD, L.",GBR,Men,rugby,Silver,Summer
1900,"LOGAN, M.L.",GBR,Men,rugby,Silver,Summer
1900,"LOVEITT, H.A.",GBR,Men,rugby,Silver,Summer
1900,"NICOL, N.S.",GBR,Men,rugby,Silver,Summer
